,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
1883,Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.1 M,-56.6,,Male,O,110607
1882,Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.01 M,-13.2,,Male,O,110607
1881,Calcium gluconate,299-28-5,Drosophila melanogaster,Oregon R,0.001 M,-3.7,,Male,O,110607
71,Calcium dichloride,10043-52-4,Asplanchna brightwelli,4B61,1.2 mM,-20.04,0.0,,S,7428860
72,Calcium dichloride,10043-52-4,Asplanchna brightwelli,4B61,2.4 mM,-26.65,-28.57,,S,7428860
70,Calcium dichloride,10043-52-4,Asplanchna brightwelli,4B61,0.5 mM,-3.3,-14.28,,NS,7428860
2824,Calcium Pantothenate,137-08-6,Mus musculus,C-57 black,300 µg/day,20.02,,FEMALE,S,13614445
2823,Calcium Pantothenate,137-08-6,Mus musculus,C-57 black,300 µg/day,18.3,,MALE,S,13614445
1880,Calcium Pantothenate,137-08-6,Drosophila melanogaster,Oregon,0.5g/kg,27.8,,,S,18856647
1878,Caffeine,58-08-2,Drosophila melanogaster,Canton-S,0.03%,-22.86,-11.6,Male,S,29093334
405,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,31.9,,,S,31432005
393,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,10.8,,,S,24764514
27,Caffeine,58-08-2,Aedes albopictus,,200 ppm,-6.42,,FEMALE,NS,34188892
26,Caffeine,58-08-2,Aedes albopictus,,100 ppm,-4.64,,FEMALE,NS,34188892
25,Caffeine,58-08-2,Aedes albopictus,,50 ppm,0.1,,FEMALE,NS,34188892
386,Caffeine,58-08-2,Caenorhabditis elegans,N2,0.5 mM,7.7,,,S,24764514
387,Caffeine,58-08-2,Caenorhabditis elegans,N2,7.5 mM,8.7,,,S,24764514
388,Caffeine,58-08-2,Caenorhabditis elegans,N2,10 mM,16.9,,,S,24764514
389,Caffeine,58-08-2,Caenorhabditis elegans,N2,2.5 mM,17.2,,,S,24764514
390,Caffeine,58-08-2,Caenorhabditis elegans,N2,7.5 mM,19.6,,,S,24764514
391,Caffeine,58-08-2,Caenorhabditis elegans,N2,20 mM,21.6,,,S,24764514
392,Caffeine,58-08-2,Caenorhabditis elegans,N2,50 mM,-40.9,,,S,24764514
1879,Caffeine,58-08-2,Drosophila melanogaster,Canton-S,0.05%,-17.14,-11.6,Male,S,29093334
395,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,28.5,,,S,24764514
406,Caffeine,58-08-2,Caenorhabditis elegans,N2,1 mM,16.42,,,S,31432005
394,Caffeine,58-08-2,Caenorhabditis elegans,N2,10 mM,36.7,,,S,24764514
404,Caffeine,58-08-2,Caenorhabditis elegans,N2,50 µg/mL,15.39,,,S,30061824
403,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,65.0,,,S,26696878
402,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,35.0,,,S,26696878
401,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,8.0,,,S,26696878
400,Caffeine,58-08-2,Caenorhabditis elegans,N2,15 mM,24.0,,,S,26696878
399,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,0.0,,,NS,26696878
398,Caffeine,58-08-2,Caenorhabditis elegans,N2,30 mM,-60.0,,,S,26696878
397,Caffeine,58-08-2,Caenorhabditis elegans,N2,45 mM,-92.0,,,S,26696878
385,Caffeine,58-08-2,Caenorhabditis elegans,N2,5 mM,-13.6,,,S,24764514
396,Caffeine,58-08-2,Caenorhabditis elegans,N2,60 mM,-96.0,,,S,26696878
382,Caffeine,58-08-2,Caenorhabditis elegans,N2,75 mM,-82.8,,,S,24764514
384,Caffeine,58-08-2,Caenorhabditis elegans,N2,30 mM,-24.4,,,S,24764514
381,Caffeine,58-08-2,Caenorhabditis elegans,N2,100 mM,-89.5,,,S,24764514
383,Caffeine,58-08-2,Caenorhabditis elegans,N2,7.5 mM,-11.6,,,S,24764514
3121,Caffeine,58-08-2,Saccharomyces cerevisiae,BY4741,0.2-0.4 mM,86.0,,,S,18513215
1875,Caffeine,58-08-2,Drosophila melanogaster,Oregon R,0.01 mg/ml,-10.1,,Male,NS,8326745
1876,Caffeine,58-08-2,Drosophila melanogaster,Oregon R,1 mg/ml,-3.3,,Male,NS,8326745
1877,Caffeine,58-08-2,Drosophila melanogaster,Oregon R,0.1 mg/ml,1.7,,Male,NS,8326745
380,Caffeic acid phenethylester,104594-70-9,Caenorhabditis elegans,,,9.0,17.0,,S,24964141
375,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,100 μM,8.25,,,NS,33432954
374,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,300 µM,11.0,,,S,21503726
379,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,200 µM,15.85,11.52,,S,33802064
378,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,300 μM,17.72,,,S,33432954
377,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,700 μM,11.3,,,S,33432954
376,Caffeic acid,331-39-5,Caenorhabditis elegans,N2,500 μM,15.57,,,S,33432954
1871,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,0.001 mM,6.5,,MALE,S,6409707
1872,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,1 mM,-74.0,,MALE,S,6409707
1873,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,0.5 mM,-65.1,,MALE,S,6409707
1874,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,0.1 mM,8.8,,MALE,NS,6409707
1870,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,0.01 mM,6.5,,MALE,NS,6409707
1869,Cadmium chloride,10108-64-2,Drosophila melanogaster,Oregon-R,0.1 mM,-17.4,,MALE,S,6409707
1867,CU701,,Drosophila melanogaster,Canton S,0.30%,16.9,,Male,S,24305778
1868,CU701,,Drosophila melanogaster,Canton S,0.30%,5.4,,Female,S,24305778
1865,CU701,,Drosophila melanogaster,Canton S,0.30%,0.0,,Male,NS,24305778
1866,CU701,,Drosophila melanogaster,Canton S,0.30%,6.0,,Female,NS,24305778
1864,CMS121,1353224-53-9,Drosophila melanogaster,w1118/+,5 µM,8.46,,,S,33550278
373,CGP37157,75450-34-9,Caenorhabditis elegans,N2,50 µM,14.9,,,S,30705628
372,CGP37157,75450-34-9,Caenorhabditis elegans,N2,100 µM,10.9,,,S,30705628
371,CGP37157,75450-34-9,Caenorhabditis elegans,N2,50 µM,14.9,,,S,30705628
2822,CASIN,,Mus musculus,C57BL/6,25 mg/kg,10.12,,female,S,32755011
370,C75,218137-86-1,Caenorhabditis elegans,N2,30 µM,-6.25,-4.34,,S,25437839
3061,C60,99685-96-8,Rattus norvegicus,,1.7 mg/kg of body weight,90.0,,,S,22498298
2820,C60,99685-96-8,Mus musculus,CBA/Ca,3.4 mg/kg,0.04,0.34,Male,NS,33849306
2821,C60,99685-96-8,Mus musculus,CBA/Ca,3.4 mg/kg,6.98,1.85,Female,NS,33849306
2818,Butylated hydroxytoluene,128-37-0,Mus musculus,BaLB/c,0.75%,30.1,,MALE,S,448040
1719,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,100 µM,13.0,,FEMALE,S,6656301
2819,Butylated hydroxytoluene,128-37-0,Mus musculus,BaLB/c,0.75%,24.8,,FEMALE,S,448040
1721,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,100 µM,14.3,,MALE,S,6656301
1720,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,10 µM,4.3,,FEMALE,S,6656301
1723,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,10 µM,4.8,,MALE,S,6656301
1724,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,1000 µM,19.0,,MALE,S,6656301
1722,Butylated hydroxytoluene,128-37-0,Drosophila bipectinata,,1000 µM,26.1,,FEMALE,S,6656301
3198,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,100 mM,-57.2,-55.2,Female,S,9207858
3201,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,25 mM,13.1,4.4,Female,S,9207858
3200,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,5 mM,18.4,6.6,Male,S,9207858
369,Butylated hydroxyanisole,25013-16-5,Caenorhabditis elegans,N2,25 µM,6.38,,,S,28054425
3204,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,25 mM,20.5,2.2,Male,S,9207858
3199,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,5 mM,7.9,6.9,Female,S,9207858
3203,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,10 mM,15.1,27.0,Female,S,9207858
3197,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,1 mM,4.0,1.3,Male,NS,9207858
3196,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,1 mM,1.7,0.8,Female,NS,9207858
3195,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,50 mM,-31.7,-46.3,Male,S,9207858
3194,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,50 mM,-45.9,-40.7,Female,S,9207858
3193,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,100 mM,-63.8,-53.7,Male,S,9207858
3202,Butylated hydroxyanisole,25013-16-5,Zaprionus paravittiger,,10 mM,27.0,17.6,Male,S,9207858
368,Buthus martensii Karsch Polypeptide Toxin ,,Caenorhabditis elegans,N2,Polypeptide DNA sequence inserted into the pGEX-4T-1 plasmid and transformed into pGEX-4T-1,22.5,29.27,,S,28088444
2997,Buthionine Sulfoximine ,5072-26-4,Musca Domestica,,3 mM,-30.0,,,S,2866912
3120,Butein,487-52-5,Saccharomyces cerevisiae,PSY316AT MATα,10 µM,31.0,,,S,12939617
367,Butaclamol hydrochloride,36504-94-6,Caenorhabditis elegans,N2,10 µM,-0.41,,,NS,33008901
366,Bupivacaine Hydrochloride,18010-40-7,Caenorhabditis elegans,N2,100 µM,7.43,,,S,33008901
365,Bupivacaine Hydrochloride,18010-40-7,Caenorhabditis elegans,N2,10 µM,0.62,,,NS,33008901
1862,Bupivacaine HCl,18010-40-7,Drosophila melanogaster,Canton-S,200 μM,3.54,,Male,NS,33008901
1863,Bupivacaine HCl,18010-40-7,Drosophila melanogaster,Canton-S,20 μM,11.95,,Female,S,33008901
3060,Buformin,692-13-7,Rattus norvegicus,LIO,5 mg/day,7.0,5.5,Female,S,14618027
2817,Branched-Chain Amino Acids,77431-55-1,Mus musculus,B6.129S2,1.5 mg/g body weight,12.0,4.6,MALE,S,20889128
362,Blueberry extract,84082-34-8,Caenorhabditis elegans,N2,50 mg/mL,22.23,16.0,,S,30238944
364,Blueberry extract,84082-34-8,Caenorhabditis elegans,N2,200 mg/mL,44.42,24.0,,S,30238944
1861,Blueberry extract,84082-34-8,Drosophila melanogaster,,5 mg/ml,10.0,,,S,22197903
363,Blueberry extract,84082-34-8,Caenorhabditis elegans,N2,100 mg/mL,36.52,20.0,,S,30238944
359,Black tea extract,,Caenorhabditis elegans,,0.223 mg/ml,,,,S,28750751
360,Black tea extract,,Caenorhabditis elegans,,0.67 mg/ml,,,,S,28750751
361,Black tea extract,,Caenorhabditis elegans,,2 mg/ml,,,,S,28750751
1859,Black tea extract,,Drosophila melanogaster,Oregon R,Instead of water,20.2,,Male,S,8326745
1860,Black tea extract,,Drosophila melanogaster,,10 mg/ml,10.0,,,S,19770032
1858,Black rice extract,,Drosophila melanogaster,Oregon R,30 mg/ml,14.0,,,S,22930061
1857,Bismuth sodium tryglycollamate,,Drosophila melanogaster,Canton S,310 mg/100 mL of medium,13.0,9.0,Female,NS,4397875
34,"Bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate",30538-92-2,Aeolosoma viride,,2.5 µM,98.6,,,S,25190068
35,"Bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate",30538-92-2,Aeolosoma viride,,1.25 µM,157.3,,,S,25190068
1856,Biotin,58-85-5,Drosophila melanogaster,Oregon,0.0067,0.0,,,NS,18856648
358,Bezafibrate,41859-67-0,Caenorhabditis elegans,N2,10 µM,13.0,,,S,23603800
356,Betula utilis,,Caenorhabditis elegans,N2,10 μg/ml,21.79,,,S,31669661
355,Betula utilis,,Caenorhabditis elegans,N2,50 μg/ml,35.99,,,S,31669661
357,Betula utilis,,Caenorhabditis elegans,N2,100 μg/ml,25.72,,,S,31669661
354,Betaine,107-43-7,Caenorhabditis elegans,N2,1 mM,9.0,,,S,25643626
353,Beta-caryophyllene,87-44-5,Caenorhabditis elegans,N2,100 µM,14.9,,,S,24835194
352,Beta-caryophyllene,87-44-5,Caenorhabditis elegans,N2,50 µM,22.2,,,S,24835194
351,Beta-caryophyllene,87-44-5,Caenorhabditis elegans,N2,25 µM,11.2,,,S,24835194
350,Beta-alanine,107-95-9,Caenorhabditis elegans,N2,1 mM,13.0,,,S,25643626
1853,Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.1 M,-4.17,,MALE,NS,2495975
349,Beta-alanine,107-95-9,Caenorhabditis elegans,N2,5 mM,5.0,,,NS,25643626
1854,Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.01 M,-2.08,,MALE,NS,2495975
1855,Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.001 M,-6.74,,MALE,NS,2495975
1849,Beta-Guanidinopropionic acid,353-09-3,Drosophila melanogaster,w1118,900 mM,9.1,,Male,S,26120775
1852,Beta-Guanidinopropionic acid,353-09-3,Drosophila melanogaster,w1118,900 mM,-63.0,,FEMALE,S,34141906
105,Beta-Guanidinopropionic acid,353-09-3,Caenorhabditis briggsae,AF16,300 mM,-16.82,,,S,31998863
1851,Beta-Guanidinopropionic acid,353-09-3,Drosophila melanogaster,w1118,900 mM,-54.0,,MALE,S,34141906
1850,Beta-Guanidinopropionic acid,353-09-3,Drosophila melanogaster,w1118,900 mM,13.3,,Female,S,26120775
348,Beta-Estradiol,50-28-2,Caenorhabditis elegans,,33 µM,7.0,,,S,24134630
2816,Beryllium sulfate,13510-49-1,Mus musculus,Swiss,5 ppm,10.57,0.0,FEMALE,NS,1113210
2815,Beryllium sulfate,13510-49-1,Mus musculus,Swiss,5 ppm,-8.97,24.05,MALE,NS,1113210
1848,Berberine A,,Drosophila melanogaster,Canton-S,200 μM,-1.17,,Male,NS,33008901
346,Berberine A,,Caenorhabditis elegans,N2,10 µM,-4.42,,,S,33008901
347,Berberine A,,Caenorhabditis elegans,N2,100 µM,-13.56,,,S,33008901
343,Berberine,2086-83-1,Caenorhabditis elegans,N2,4 µM,17.36,,,S,32941928
344,Berberine,2086-83-1,Caenorhabditis elegans,N2,20 µM,3.1,,,NS,32941928
345,Berberine,2086-83-1,Caenorhabditis elegans,N2,100 µM,19.32,,,S,32941928
2813,Berberine,2086-83-1,Mus musculus,,100 mg/kg,52.0,,,S,31773901
2814,Berberine,2086-83-1,Mus musculus,C57BL/6J,50 mg/kg,16.49,,Male,S,31773901
1847,Benzethonium,,Drosophila melanogaster,Canton-S,200 μM,-1.17,,Male,NS,33008901
1846,Benzethonium,,Drosophila melanogaster,Canton-S,20 μM,0.04,,Female,NS,33008901
341,Benzalkonium chloride,,Caenorhabditis elegans,N2,10 µM,-9.09,,,S,33008901
342,Benzalkonium chloride,,Caenorhabditis elegans,N2,100 µM,-25.92,,,S,33008901
2811,Barium acetate,543-80-6,Mus musculus,Swiss,5 ppm,-8.8,-15.94,MALE,S,1113210
2812,Barium acetate,543-80-6,Mus musculus,Swiss,5 ppm,7.6,-14.88,FEMALE,NS,1113210
1843,Baicalein,491-67-8,Drosophila melanogaster,w1118,0.04mg/ml,8.53,5.7,,S,26778291
1844,Baicalein,491-67-8,Drosophila melanogaster,w1118,0.2mg/ml,19.8,3.97,Male,S,26778291
340,Baicalein,491-67-8,Caenorhabditis elegans,N2,25 µM,18.49,,,S,33809299
335,Baicalein,491-67-8,Caenorhabditis elegans,N2,0.001,36.7,52.0,,S,22114686
336,Baicalein,491-67-8,Caenorhabditis elegans,N2,100 µM,45.0,24.0,,O,23339711
337,Baicalein,491-67-8,Caenorhabditis elegans,N2,10 µM,16.54,,,S,33809299
338,Baicalein,491-67-8,Caenorhabditis elegans,N2,50 µM,2.72,,,NS,33809299
339,Baicalein,491-67-8,Caenorhabditis elegans,N2,100 µM,4.4,,,S,33809299
1845,Baicalein,491-67-8,Drosophila melanogaster,w1118,1 mg/ml,9.32,4.66,,S,26778291
334,Bacitracin,1405-87-4,Caenorhabditis elegans,N2,0.01,58.5,74.0,,S,22114686
333,BTCP hydrochloride,,Caenorhabditis elegans,,88 µM,14.0,,,S,24134630
332,BRL 50481,433695-36-4,Caenorhabditis elegans,,176 µM,18.0,,,S,24134630
331,BRL 15572,193611-72-2,Caenorhabditis elegans,,33 µM,10.0,,,S,24134630
2810,BP-C3,,Mus musculus,Swiss-Derived SHR,10 mg/kg Daily,8.4,12.4,Female,S,27574962
330,BIA 10-2639,,Caenorhabditis elegans,N2,50 µM,22.0,,,S,30911178
329,BIA 10-2474,1233855-46-3,Caenorhabditis elegans,N2,50 µM,3.0,,,NS,30911178
328,Azacytidine,320-67-2,Caenorhabditis elegans,N2,1 µM,25.8,19.4,,S,31089188
1842,Auten-67,301154-74-5,Drosophila melanogaster,,30 µM,,30.0,BOTH,S,26312549
1841,Aurintricarboxylic acid,4431-00-9,Drosophila melanogaster,Oregon R,0.5 mM,15.0,0.0,Male,O,15621204
326,Auraptene,495-02-3,Caenorhabditis elegans,N2,10 µM,-2.52,,,NS,33008901
1840,Auraptene,495-02-3,Drosophila melanogaster,Canton-S,20 μM,5.9,,Female,S,33008901
327,Auraptene,495-02-3,Caenorhabditis elegans,N2,100 µM,-0.17,,,NS,33008901
323,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,200 µg/ml,20.7,,,S,25186652
320,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,50 µg/ml,7.0,,,NS,25186652
321,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,400 µg/ml,19.6,,,S,25186652
325,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,200 µg/ml,24.7,,,S,25186652
324,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,600 µg/ml,30.8,,,S,25186652
322,Astragalus polysaccharide,89250-26-0,Caenorhabditis elegans,N2,100 µg/ml,22.8,,,S,25186652
319,Astragalus membranaceus polysaccharide,,Caenorhabditis elegans,N2,1-2.5 mg/ml,23.8,,,S,21892924
318,Astragaloside IV,84687-43-4,Caenorhabditis elegans,N2,2.5 µM,13.89,13.62,,S,32741299
317,Astragaloside IV,84687-43-4,Caenorhabditis elegans,N2,10 µM,0.69,3.89,,NS,32741299
316,Astragaloside IV,84687-43-4,Caenorhabditis elegans,N2,5 µM,27.78,16.73,,S,32741299
314,Astemizole,68844-77-9,Caenorhabditis elegans,N2,100 µM,-10.21,,,S,33008901
1839,Astemizole,68844-77-9,Drosophila melanogaster,Canton-S,200 μM,-2.73,,Male,NS,33008901
315,Astemizole,68844-77-9,Caenorhabditis elegans,N2,10 µM,-6.0,,,S,33008901
310,Astaxanthin,472-61-7,Caenorhabditis elegans,N2,1 mM,28.6,21.7,,S,22013497
311,Astaxanthin,472-61-7,Caenorhabditis elegans,N2,6 µg,20.8,14.6,,S,22484623
312,Astaxanthin,472-61-7,Caenorhabditis elegans,N2,60 µM,9.71,,,S,33115330
313,Astaxanthin,472-61-7,Caenorhabditis elegans,N2,120 µM,13.36,,,S,33115330
1834,Aspirin (Bufferin),50-78-2,Drosophila melanogaster,Oregon-R,2.5 mg/mL,-16.06,,MALE,S,3921599
1835,Aspirin (Bufferin),50-78-2,Drosophila melanogaster,Oregon-R,0.5 mg/mL,-9.04,,MALE,S,3921599
1838,Aspirin (Bufferin),50-78-2,Drosophila melanogaster,Oregon-R,0.5 mg/mL,0.48,,MALE,NS,3921599
1837,Aspirin (Bufferin),50-78-2,Drosophila melanogaster,Oregon-R,2.5 mg/mL,-2.19,,MALE,NS,3921599
2809,Aspirin (Bufferin),50-78-2,Mus musculus,C57BL/6J,495 µg/mL,0.1,-4.8,FEMALE,NS,4788962
2808,Aspirin (Bufferin),50-78-2,Mus musculus,C57BL/6J,242 µg/mL,-17.5,-10.1,FEMALE,S,4788962
2807,Aspirin (Bufferin),50-78-2,Mus musculus,C57BL/6J,113 µg/mL,5.0,-6.1,FEMALE,NS,4788962
1836,Aspirin (Bufferin),50-78-2,Drosophila melanogaster,Oregon-R,0.25 mg/mL,-1.58,,MALE,NS,3921599
3,Aspirin,50-78-2,Acheta domesticus,,5.65x10^5 g aspirin/g food,52.0,,Female,S,25833406
5,Aspirin,50-78-2,Acheta domesticus,,2.263x10^4 g aspirin/g food,111.0,,,S,25833406
4,Aspirin,50-78-2,Acheta domesticus,,5.65x10^5 g aspirin/g food,134.0,,,S,25833406
2,Aspirin,50-78-2,Acheta domesticus,,2.263x10^4 g aspirin/g food,77.0,,Male,S,25833406
0,Aspirin,50-78-2,Acheta domesticus,,2.263x10^4 g aspirin/g food,49.0,,Female,S,25833406
2806,Aspirin,50-78-2,Mus musculus,,60 ppm,1.0,,female,NS,30916479
1833,Aspirin,50-78-2,Drosophila melanogaster,Ca,1 μM,32.7,,FEMALE,S,26305987
1831,Aspirin,50-78-2,Drosophila melanogaster,cross between Canton S females with Oregon RC males,20 mg/100 mL of medium,-14.0,5.0,Female,NS,4397875
1830,Aspirin,50-78-2,Drosophila melanogaster,cross between Canton S females with Oregon RC males,20 mg/100 mL of medium,30.0,5.0,Male,S,4397875
1829,Aspirin,50-78-2,Drosophila melanogaster,Oregon-R,0.001 M,0.62,,MALE,NS,3921599
1828,Aspirin,50-78-2,Drosophila melanogaster,Oregon-R,0.015 M,-7.12,,MALE,S,3921599
1,Aspirin,50-78-2,Acheta domesticus,,5.65x10^5 g aspirin/g food,67.0,,Male,S,25833406
309,Aspirin,50-78-2,Caenorhabditis elegans,N2,100 µM,14.24,,,S,28910305
308,Aspirin,50-78-2,Caenorhabditis elegans,N2,100 µM,16.0,,,S,23485446
307,Aspirin,50-78-2,Caenorhabditis elegans,N2,1 µM,20.9,,,S,22866967
306,Aspirin,50-78-2,Caenorhabditis elegans,N2,0.5 µM,23.0,,,S,22866967
2805,Aspirin,50-78-2,Mus musculus,,200 ppm,1.0,,female,NS,30916479
2802,Aspirin,50-78-2,Mus musculus,UM-HET3,21 mg/kg food,8.0,47.2,MALE,S,18631321
2803,Aspirin,50-78-2,Mus musculus,,60 ppm,-1.0,,male,NS,30916479
2804,Aspirin,50-78-2,Mus musculus,,200 ppm,1.0,,male,NS,30916479
1832,Aspirin,50-78-2,Drosophila melanogaster,Canton-S ,0.5 μM,7.7,,FEMALE,S,26305987
304,Asparagine,70-47-3,Caenorhabditis elegans,N2,10 mM,-25.0,,,S,25643626
303,Asparagine,70-47-3,Caenorhabditis elegans,N2,1 mM,1.0,,,NS,25643626
305,Asparagine,70-47-3,Caenorhabditis elegans,N2,5 mM,5.0,,,S,25643626
302,Ascr#3,,Caenorhabditis elegans,N2,400 nM,21.0,,,S,23509272
301,Ascr#2,,Caenorhabditis elegans,N2,400 nM,14.0,,,S,23509272
1819,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-5.0,,MALE,O,819283
1815,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.05 M,-12.8,,FEMALE,O,819283
1823,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-3.4,,MALE,S,1756780
1822,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-4.3,,MALE,O,819283
1821,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.05 M,-6.5,,MALE,O,819283
1820,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.01 M,-8.7,,MALE,O,819283
1818,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.01 M,0.0,,MALE,NS,819283
1817,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.001 M,0.0,,MALE,NS,819283
1816,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.0001 M,0.0,,MALE,NS,819283
1814,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-6.9,,FEMALE,O,819283
1825,Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.1 M,0.0,,MALE,NS,1756780
1813,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.001 M,2.0,,FEMALE,O,819283
1812,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.05 M,-4.4,,MALE,O,819283
1811,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-1.1,,MALE,O,819283
1810,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.001 M,-5.4,,MALE,O,819283
3026,Ascorbic acid,50-81-7,Paramecium tetraurelia,,50 mg/L,12.1,6.7,,O,9406982
3000,Ascorbic acid,50-81-7,Musca domestica,,2%,-52.17,,MALE,S,4068768
1824,Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.01 M,1.7,,MALE,NS,1756780
2999,Ascorbic acid,50-81-7,Musca domestica,,0.50%,-13.88,,MALE,NS,4068768
1826,Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.01 M,4.4,,MALE,NS,1756780
299,Ascorbic acid,50-81-7,Caenorhabditis elegans,N2,5 mM,-3.59,6.45,,S,27683245
1827,Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.001 M,0.0,,MALE,NS,1756780
2801,Ascorbic acid,50-81-7,Mus musculus,C57BL/6J,1%,8.6,2.9,MALE,S,6519438
300,Ascorbic acid,50-81-7,Caenorhabditis elegans,N2,10 mM,-0.76,-12.9,,NS,27683245
297,Ascorbic acid,50-81-7,Caenorhabditis elegans,N2,80 µg/ml,0.0,,,NS,3374177
298,Ascorbic acid,50-81-7,Caenorhabditis elegans,N2,25 µL Liposomes + 240 µg ascorbic acid,,50.0,,S,19580823
296,Arsenite,,Caenorhabditis elegans,N2,100 nM,10.0,,,S,23534459
1808,Aronia extract,,Drosophila melanogaster,Canton-S,1 mg/mL,0.0,7.77,Male,NS,30263675
1809,Aronia extract,,Drosophila melanogaster,Canton-S,2.5 mg/mL,15.38,8.88,Male,S,30263675
295,Argyreia boseana,,Caenorhabditis elegans,N2,0.01 mg/mL,-5.4,,,S,30448258
294,Argyreia boseana,,Caenorhabditis elegans,N2,0.1 mg/mL,-3.8,,,NS,30448258
293,Argyreia boseana,,Caenorhabditis elegans,N2,1 mg/mL,4.25,,,S,30448258
292,Arginine,74-79-3,Caenorhabditis elegans,N2,5 mM,11.0,,,S,25643626
291,Arginine,74-79-3,Caenorhabditis elegans,N2,10 mM,15.0,,,S,25643626
290,Arginine,74-79-3,Caenorhabditis elegans,N2,1 mM,8.0,,,S,25643626
289,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.1 mM,10.4,,,S,32854519
288,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.2 mM,12.85,,,S,32854519
287,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.2 mM,5.7,,,NS,32854519
286,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.2 mM,16.35,,,S,32854519
285,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.2 mM,-15.95,,,NS,32854519
284,Arecoline,63-75-2,Caenorhabditis elegans,N2,0.2 mM,-63.5,,,S,32854519
